lead_mql_date,cnt_all,cnt_Linkendin
2025-04-22,251,21
2024-07-12,59,38
2024-09-20,30,20
2024-05-27,44,38
2025-02-05,61,29
2025-02-17,16,0
2024-04-01,38,33
2024-04-02,20,16
2024-04-04,27,21
2024-04-07,19,13
2024-04-10,45,31
2024-04-12,34,24
2024-04-15,92,59
2024-04-17,28,24
2024-04-21,19,13
2024-04-27,19,14
2024-04-29,30,26
2024-05-07,119,107
2024-05-10,28,20
2024-05-16,68,52
2024-05-26,14,8
2024-05-29,26,21
2024-06-05,29,21
2024-11-21,115,85
2024-06-18,45,22
2024-06-19,73,57
2024-06-25,73,59
2024-11-19,23,13
2024-07-08,34,27
2024-07-09,151,116
2024-07-11,28,12
2024-11-26,34,14
2024-07-22,58,43
2024-07-28,21,15
2024-08-05,35,16
2024-08-14,44,27
2024-08-22,61,38
2024-09-09,33,21
2024-09-02,22,14
2024-09-03,57,43
2024-09-04,58,45
2024-09-11,35,23
2024-09-24,35,20
2024-09-26,44,32
2024-09-29,28,8
2024-10-07,30,12
2024-10-08,20,6
2024-10-16,81,28
2024-10-25,49,41
2024-10-30,24,19
2025-06-26,11,6
2024-11-05,48,34
2024-11-06,125,100
2024-11-10,25,20
2024-11-14,86,60
2024-11-20,27,20
2024-11-23,21,13
2024-11-27,66,50
2024-11-29,18,11
2024-12-03,87,66
2024-12-06,32,23
2024-12-11,55,39
2024-12-15,27,11
2024-12-16,38,19
2024-12-22,17,12
2024-12-26,21,14
2024-12-29,13,7
2024-12-31,22,18
2025-01-08,74,49
2025-05-21,12,8
2025-01-11,26,19
2025-01-13,108,91
2025-01-16,85,63
2025-01-24,50,34
2025-01-21,26,2
2025-01-23,61,38
2025-01-25,35,19
2025-01-27,39,30
2025-01-28,38,20
2025-01-29,41,28
2025-01-30,65,39
2025-02-02,36,21
2025-02-03,50,22
2025-02-06,82,33
2025-02-08,16,1
2025-02-12,26,0
2025-02-13,26,3
2025-02-23,9,0
2025-02-26,16,0
2025-02-27,17,1
2025-02-28,17,0
2025-03-02,6,0
2025-03-04,17,0
2025-03-05,18,0
2025-03-11,9,0
2025-03-12,23,9
2025-03-14,28,18
2025-03-18,98,69
2025-03-26,39,22
2025-03-31,23,12
2025-04-01,117,109
2025-04-03,127,99
2025-04-04,17,6
2025-04-08,20,12
2025-04-12,13,11
2025-04-28,22,15
2025-05-03,7,5
2025-05-25,8,4
2025-06-03,18,10
2025-06-07,15,12
2025-06-13,16,11
2024-10-03,44,34
2024-07-16,40,28
2024-06-03,27,23
2024-06-14,167,150
2024-07-01,29,21
2024-08-03,16,9
2024-05-21,41,33
2024-06-20,36,25
2024-10-10,41,21
2024-05-02,32,24
2024-07-29,96,44
2024-08-19,76,17
2024-06-17,64,21
2024-07-03,45,18
2025-04-15,19,16
2024-05-06,32,26
2024-05-08,53,28
2024-05-24,21,15
2024-05-31,20,11
2024-06-16,14,10
2024-07-17,76,59
2024-11-07,67,52
2024-12-04,49,34
2024-05-14,93,81
2024-10-17,57,49
2024-04-03,41,34
2024-04-18,84,67
2024-04-22,69,66
2024-04-25,28,21
2024-04-28,19,15
2024-08-13,38,25
2024-08-09,23,17
2025-02-20,25,5
2024-07-10,19,12
2024-05-01,28,22
2024-05-09,66,55
2024-05-22,33,23
2024-05-23,29,17
2024-06-04,29,23
2024-06-22,18,14
2024-06-24,28,16
2024-06-26,32,23
2024-07-02,24,14
2024-07-14,20,13
2024-07-23,57,19
2025-06-25,39,13
2024-06-12,31,23
2024-07-07,12,7
2024-09-06,48,20
2025-06-30,13,6
2025-01-19,22,18
2025-06-27,16,12
2025-01-15,52,41
2025-02-19,21,1
2025-03-22,16,7
2025-05-23,15,12
2024-10-09,53,39
2024-08-20,82,63
2024-04-19,34,24
2024-08-21,30,22
2024-04-06,15,10
2024-04-11,41,34
2025-05-12,9,4
2024-04-16,31,20
2024-04-24,42,37
2024-05-04,27,20
2024-05-05,25,19
2024-05-13,37,29
2024-05-15,32,22
2024-05-18,18,11
2024-05-30,25,17
2024-05-28,35,21
2024-06-15,12,9
2024-06-29,16,13
2024-06-30,13,8
2025-05-19,25,16
2024-09-25,38,25
2024-07-13,12,6
2024-07-15,26,17
2024-07-18,31,23
2024-08-16,25,19
2024-07-21,8,5
2024-07-24,45,25
2024-08-12,79,57
2024-08-02,83,65
2024-08-06,38,24
2024-09-10,48,29
2024-08-15,87,54
2024-08-26,38,27
2024-08-28,29,18
2025-04-21,24,14
2024-08-29,72,53
2024-08-30,20,15
2024-08-31,17,12
2025-01-26,32,17
2024-12-19,106,82
2024-09-23,35,23
2024-09-08,14,10
2024-09-12,102,83
2024-09-13,42,26
2024-09-16,29,19
2024-09-18,45,35
2024-09-21,28,13
2024-09-27,24,12
2024-09-30,35,20
2024-10-01,30,21
2024-10-02,44,26
2024-10-04,39,26
2024-10-05,17,9
2024-10-06,22,14
2024-10-11,22,15
2025-03-13,250,232
2024-10-12,20,9
2024-10-14,31,15
2024-10-18,26,19
2024-10-19,15,12
2024-10-22,63,57
2024-10-28,18,13
2024-10-29,41,15
2024-10-31,35,28
2024-11-04,39,20
2024-11-11,95,71
2024-11-08,47,31
2024-11-09,24,14
2024-11-12,24,12
2025-02-07,47,1
2024-11-13,62,39
2024-11-15,22,14
2024-11-17,21,8
2024-11-18,42,24
2024-11-22,20,10
2024-11-24,17,9
2024-11-25,40,27
2024-11-30,17,10
2024-12-02,30,21
2024-12-05,46,31
2024-12-08,22,18
2024-12-09,39,26
2024-12-10,100,80
2024-12-12,57,37
2024-12-13,33,24
2025-01-02,32,19
2024-12-20,29,24
2024-12-25,4,3
2024-12-27,14,9
2025-01-03,22,12
2025-01-06,127,106
2025-03-08,10,0
2025-01-07,37,27
2025-01-09,64,44
2025-01-12,20,11
2025-01-14,14,4
2025-04-10,24,14
2025-01-17,34,25
2025-01-20,27,13
2025-04-26,12,7
2025-04-02,122,108
2025-02-11,13,2
2025-02-14,19,1
2025-02-04,61,27
2025-06-11,19,12
2025-02-09,9,0
2025-03-06,16,1
2025-02-10,14,0
2025-02-15,7,0
2025-02-18,12,0
2025-04-07,27,19
2025-02-21,18,1
2025-02-22,7,0
2025-02-25,23,1
2025-03-29,9,3
2025-03-01,14,0
2025-03-03,16,1
2025-03-09,7,0
2025-04-14,18,15
2025-03-07,22,0
2025-03-20,49,30
2025-03-10,15,0
2025-03-23,16,8
2025-03-15,20,10
2025-03-16,12,4
2025-03-17,133,120
2025-03-28,104,96
2025-05-01,23,15
2025-03-25,25,14
2025-03-19,45,31
2025-04-18,17,13
2025-03-27,91,79
2025-05-08,25,16
2025-04-17,20,17
2025-03-21,22,6
2025-03-24,20,11
2025-06-09,89,8
2025-04-24,26,15
2025-03-30,7,5
2025-07-01,24,12
2025-04-05,14,12
2025-04-06,7,2
2025-04-09,16,10
2025-04-11,23,17
2025-06-17,16,10
2025-04-13,10,7
2025-04-16,32,25
2025-04-23,15,8
2025-04-20,7,6
2025-04-25,14,8
2025-04-29,28,22
2025-04-30,14,12
2025-06-19,21,16
2025-05-02,12,9
2025-05-05,30,16
2025-05-07,23,16
2025-05-06,16,9
2025-05-09,17,12
2025-05-10,8,7
2025-05-13,21,14
2025-05-14,24,12
2025-05-15,15,8
2025-05-16,7,7
2025-05-20,10,7
2025-05-22,20,12
2025-05-24,9,7
2025-05-26,5,3
2025-05-27,14,10
2025-05-28,17,9
2025-05-29,16,11
2025-05-30,15,6
2025-05-31,19,13
2025-06-01,8,8
2025-06-04,11,6
2025-06-10,27,12
2025-06-05,18,15
2025-06-06,6,3
2025-06-08,8,6
2025-06-12,20,14
2025-06-14,8,6
2025-06-15,9,7
2025-06-16,7,1
2025-06-18,8,7
2025-06-20,20,15
2025-06-21,10,8
2025-06-22,6,3
2025-06-23,20,9
2025-06-24,19,12
2025-06-29,8,4
2024-04-14,17,13
2024-04-08,28,22
2024-06-08,16,11
2024-04-30,79,70
2024-05-03,20,16
2024-05-11,14,8
2024-09-05,137,56
2024-06-27,31,18
2024-06-06,32,23
2024-06-07,17,16
2024-08-07,108,86
2024-06-10,20,12
2024-06-11,25,21
2024-06-28,24,15
2024-07-05,16,11
2024-07-06,15,13
2024-10-23,37,26
